;;;;;Recepcion;;;;Balanza;;;;Darsena 1;;;;;Darsena 2;;;;Camion 1;17155,4432;;;Camion 2;;;;Camion 3;16297,3514;;;Camion 4;;;;Camion 5;16266,5755;;;Camion 6;15191,2049;;;Camion 7;19142,2075;;;Camion 8;;;;Camion 9;16173,6491;;;Camion 10;21034,8441;;
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Atendidos;Estado;Camion;Prox fin atencion;Atendidos;Cola;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion
Fin atencion Balanza;9;1;13hs 26min 5s;0hs 0min 0s;Ocupado;10;0hs 1min 3s;1;Libre;----;..hs ..min ..s;0;Ocupado;8;0hs 7min 52s;4;Ocupado;6;0hs 1min 3s;3;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias12hs 58min 35s;0dias13hs 7min 31s;0dias13hs 27min 7s;En cola;0dias13hs 0min 51s;0dias13hs 8min 25s;0dias13hs 14min 34s;En servidor;0dias13hs 5min 35s;0dias13hs 14min 11s;0dias13hs 33min 56s;En cola;0dias13hs 7min 53s;0dias13hs 19min 57s;0dias13hs 26min 4s;En servidor;0dias13hs 22min 0s;0dias13hs 22min 0s;0dias13hs 27min 8s
Fin atencion Darsena 2;6;1;13hs 27min 8s;0hs 0min 0s;Ocupado;10;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;8;0hs 6min 48s;4;Ocupado;7;0hs 6min 48s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;En servidor;0dias13hs 5min 35s;0dias13hs 14min 11s;0dias13hs 33min 56s;En cola;0dias13hs 7min 53s;0dias13hs 19min 57s;0dias13hs 26min 4s;En servidor;0dias13hs 22min 0s;0dias13hs 22min 0s;0dias13hs 27min 8s
Fin atencion Recepcion;10;1;13hs 27min 9s;0hs 0min 0s;Ocupado;11;0hs 5min 57;0;Libre;----;0hs 0min 0s;1;Ocupado;8;0hs 6min 48s;4;Ocupado;7;0hs 15min 36s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;En servidor;0dias13hs 5min 35s;0dias13hs 14min 11s;0dias13hs 33min 56s;En cola;0dias13hs 7min 53s;0dias13hs 19min 57s;0dias13hs 26min 4s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 17s
Llega camion;12;1;13hs 28min 23s;0hs 5min 41s;Ocupado;11;0hs 4min 44s;1;Ocupado;10;0hs 3min 51s;0;Ocupado;8;0hs 5min 34s;4;Ocupado;7;0hs 14min 22s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;En servidor;0dias13hs 5min 35s;0dias13hs 14min 11s;0dias13hs 33min 56s;En cola;0dias13hs 7min 53s;0dias13hs 19min 57s;0dias13hs 26min 4s;En servidor;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Fin atencion Balanza;10;1;13hs 32min 14s;0hs 0min 0s;Ocupado;11;0hs 0min 52s;1;Libre;----;..hs ..min ..s;0;Ocupado;8;0hs 1min 43s;4;Ocupado;7;0hs 10min 31s;4;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;En servidor;0dias13hs 5min 35s;0dias13hs 14min 11s;0dias13hs 33min 56s;En cola;0dias13hs 7min 53s;0dias13hs 19min 57s;0dias13hs 26min 4s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Fin atencion Recepcion;11;1;13hs 33min 7s;0hs 0min 0s;Ocupado;12;0hs 4min 30;0;Libre;----;0hs 0min 0s;1;Ocupado;8;0hs 0min 50s;4;Ocupado;7;0hs 9min 38s;4;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;En servidor;0dias13hs 5min 35s;0dias13hs 14min 11s;0dias13hs 33min 56s;En cola;0dias13hs 7min 53s;0dias13hs 19min 57s;0dias13hs 26min 4s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Fin atencion Darsena 1;8;1;13hs 33min 57s;0hs 0min 0s;Ocupado;12;0hs 3min 40s;0;Ocupado;11;0hs 5min 23s;0;Ocupado;9;0hs 18min 9s;5;Ocupado;7;0hs 8min 47s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Llega camion;13;1;13hs 34min 5s;0hs 1min 28s;Ocupado;12;0hs 3min 33s;1;Ocupado;11;0hs 5min 16s;0;Ocupado;9;0hs 18min 2s;5;Ocupado;7;0hs 8min 40s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Llega camion;14;1;13hs 35min 34s;0hs 9min 39s;Ocupado;12;0hs 2min 4s;2;Ocupado;11;0hs 3min 47s;0;Ocupado;9;0hs 16min 33s;5;Ocupado;7;0hs 7min 11s;4;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Fin atencion Recepcion;12;1;13hs 37min 38s;0hs 0min 0s;Ocupado;13;0hs 3min 8;1;Ocupado;11;0hs 1min 43s;0;Ocupado;9;0hs 14min 29s;5;Ocupado;7;0hs 5min 7s;4;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Fin atencion Balanza;11;1;13hs 39min 21s;0hs 0min 0s;Ocupado;13;0hs 1min 25s;1;Libre;----;..hs ..min ..s;0;Ocupado;9;0hs 12min 46s;5;Ocupado;7;0hs 3min 24s;4;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Fin atencion Recepcion;13;1;13hs 40min 47s;0hs 0min 0s;Ocupado;14;0hs 6min 14;0;Libre;----;0hs 0min 0s;1;Ocupado;9;0hs 11min 20s;5;Ocupado;7;0hs 1min 58s;4;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 0min 51s;0dias13hs 27min 8s;0dias13hs 33min 56s;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En cola;0dias13hs 22min 0s;0dias13hs 27min 9s;0dias13hs 32min 13s
Fin atencion Darsena 2;7;1;13hs 42min 45s;0hs 0min 0s;Ocupado;14;0hs 4min 16s;0;Ocupado;13;0hs 3min 35s;0;Ocupado;9;0hs 9min 21s;5;Ocupado;10;0hs 9min 21s;5;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Llega camion;15;1;13hs 45min 14s;0hs 4min 31s;Ocupado;14;0hs 1min 48s;1;Ocupado;13;0hs 1min 7s;0;Ocupado;9;0hs 6min 53s;5;Ocupado;10;0hs 13min 43s;5;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Fin atencion Balanza;13;1;13hs 46min 21s;0hs 0min 0s;Ocupado;14;0hs 0min 40s;1;Libre;----;..hs ..min ..s;0;Ocupado;9;0hs 5min 46s;5;Ocupado;10;0hs 12min 36s;5;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Fin atencion Recepcion;14;1;13hs 47min 2s;0hs 0min 0s;Ocupado;15;0hs 5min 39;0;Libre;----;0hs 0min 0s;1;Ocupado;9;0hs 5min 5s;5;Ocupado;10;0hs 11min 55s;5;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Llega camion;16;1;13hs 49min 46s;0hs 31min 50s;Ocupado;15;0hs 2min 56s;1;Ocupado;14;0hs 2min 39s;0;Ocupado;9;0hs 2min 21s;5;Ocupado;10;0hs 9min 11s;5;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 7min 53s;0dias13hs 33min 57s;0dias13hs 52min 6s;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Fin atencion Darsena 1;9;1;13hs 52min 7s;0hs 0min 0s;Ocupado;15;0hs 0min 34s;1;Ocupado;14;0hs 0min 17s;0;Ocupado;12;0hs 17min 31s;6;Ocupado;10;0hs 6min 49s;5;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Fin atencion Balanza;14;1;13hs 52min 25s;0hs 0min 0s;Ocupado;15;0hs 0min 16s;1;Libre;----;..hs ..min ..s;0;Ocupado;12;0hs 17min 14s;6;Ocupado;10;0hs 6min 32s;5;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Fin atencion Recepcion;15;1;13hs 52min 42s;0hs 0min 0s;Ocupado;16;0hs 6min 4;0;Libre;----;0hs 0min 0s;1;Ocupado;12;0hs 16min 57s;6;Ocupado;10;0hs 6min 15s;5;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Fin atencion Recepcion;16;1;13hs 58min 47s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Ocupado;15;0hs 0min 0s;1;Ocupado;12;0hs 10min 52s;6;Ocupado;10;0hs 0min 10s;5;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Fin atencion Balanza;15;1;13hs 58min 47s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;16;..hs ..min ..s;0;Ocupado;12;0hs 10min 52s;6;Ocupado;10;0hs 0min 10s;5;4;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;En servidor;0dias13hs 22min 0s;0dias13hs 42min 45s;0dias13hs 52min 6s
Fin atencion Darsena 2;10;1;13hs 58min 57s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;16;0hs 5min 1s;0;Ocupado;12;0hs 10min 41s;6;Ocupado;11;0hs 10min 41s;6;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;16;1;14hs 3min 59s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;0;Ocupado;12;0hs 5min 40s;6;Ocupado;11;0hs 12min 21s;6;4;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;12;1;14hs 9min 39s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;13;0hs 19min 15s;7;Ocupado;11;0hs 6min 40s;6;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;11;1;14hs 16min 20s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;13;0hs 12min 34s;7;Ocupado;14;0hs 12min 34s;7;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;17;1;14hs 21min 37s;0hs 0min 40s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;13;0hs 7min 18s;7;Ocupado;14;0hs 11min 49s;7;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;18;1;14hs 22min 18s;0hs 26min 35s;Ocupado;17;0hs 3min 49s;1;Libre;----;0hs 0min 0s;0;Ocupado;13;0hs 6min 37s;7;Ocupado;14;0hs 11min 8s;7;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;17;1;14hs 26min 7s;0hs 0min 0s;Ocupado;18;0hs 6min 45;0;Libre;----;0hs 0min 0s;1;Ocupado;13;0hs 2min 48s;7;Ocupado;14;0hs 7min 19s;7;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;13;1;14hs 28min 55s;0hs 0min 0s;Ocupado;18;0hs 3min 57s;0;Ocupado;17;0hs 3min 21s;0;Ocupado;15;0hs 16min 55s;8;Ocupado;14;0hs 4min 30s;7;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;17;1;14hs 32min 17s;0hs 0min 0s;Ocupado;18;0hs 0min 35s;0;Libre;----;..hs ..min ..s;0;Ocupado;15;0hs 13min 34s;8;Ocupado;14;0hs 1min 9s;7;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;18;1;14hs 32min 53s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;1;Ocupado;15;0hs 12min 58s;8;Ocupado;14;0hs 0min 33s;7;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;14;1;14hs 33min 26s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;18;0hs 5min 47s;0;Ocupado;15;0hs 12min 24s;8;Ocupado;16;0hs 12min 24s;8;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;18;1;14hs 39min 14s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;0;Ocupado;15;0hs 6min 37s;8;Ocupado;16;0hs 9min 19s;8;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;15;1;14hs 45min 51s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;17;0hs 18min 18s;9;Ocupado;16;0hs 2min 41s;8;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
